"URXPMM.Code.or.Value","URXPMM.Value.Description","URXPMM.Count","URXPMM.Cumulative","URXPMM.Skip.to.Item"
"1.2 to 11800","Range of Values",2418,2418,NA
".","Missing",187,2605,NA
