"WTSC2YR.Code.or.Value","WTSC2YR.Value.Description","WTSC2YR.Count","WTSC2YR.Cumulative","WTSC2YR.Skip.to.Item"
"0 to 520135.04901","Range of Values",2694,2694,NA
".","Missing",0,2694,NA
