"DRD320GW.Code.or.Value","DRD320GW.Value.Description","DRD320GW.Count","DRD320GW.Cumulative","DRD320GW.Skip.to.Item"
"0 to 59472","Range of Values",9939,9939,NA
".","Missing",538,10477,NA
