"AUXRR112.Code.or.Value","AUXRR112.Value.Description","AUXRR112.Count","AUXRR112.Cumulative","AUXRR112.Skip.to.Item"
"-38 to 61","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
