"DUQ390.Code.or.Value","DUQ390.Value.Description","DUQ390.Count","DUQ390.Cumulative","DUQ390.Skip.to.Item"
"12 to 40","Range of Values",87,87,NA
"777","Refused",1,88,NA
"999","Don't know",0,88,NA
".","Missing",5214,5302,NA
