"DRD370RQ.Code.or.Value","DRD370RQ.Value.Description","DRD370RQ.Count","DRD370RQ.Cumulative","DRD370RQ.Skip.to.Item"
"1 to 15","Range of Values",94,94,NA
".","Missing",10383,10477,NA
