"AUXRR239.Code.or.Value","AUXRR239.Value.Description","AUXRR239.Count","AUXRR239.Cumulative","AUXRR239.Skip.to.Item"
"-32 to 100","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
