"DXXBICDE.Code.or.Value","DXXBICDE.Value.Description","DXXBICDE.Count","DXXBICDE.Cumulative","DXXBICDE.Skip.to.Item"
"0.001 to 0.406","Range of Values",3276,3276,NA
".","Missing",432,3708,NA
