"DR2TS120.Code.or.Value","DR2TS120.Value.Description","DR2TS120.Count","DR2TS120.Cumulative","DR2TS120.Skip.to.Item"
"0 to 21.606","Range of Values",6502,6502,NA
".","Missing",2202,8704,NA
