"LBXVOX.Code.or.Value","LBXVOX.Value.Description","LBXVOX.Count","LBXVOX.Cumulative","LBXVOX.Skip.to.Item"
"0.017 to 7.91","Range of Values",2944,2944,NA
".","Missing",801,3745,NA
