"MCQ240E.Code.or.Value","MCQ240E.Value.Description","MCQ240E.Count","MCQ240E.Cumulative","MCQ240E.Skip.to.Item"
"16 to 78","Range of Values",70,70,NA
"85","85 years or older",2,72,NA
"77777","Refused",0,72,NA
"99999","Don't know",2,74,NA
".","Missing",10396,10470,NA
