"DXXPT52Y.Code.or.Value","DXXPT52Y.Value.Description","DXXPT52Y.Count","DXXPT52Y.Cumulative","DXXPT52Y.Skip.to.Item"
"102.2 to 326.2","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
