"LBXVMC.Code.or.Value","LBXVMC.Value.Description","LBXVMC.Count","LBXVMC.Cumulative","LBXVMC.Skip.to.Item"
"0.177 to 32.8","Range of Values",3027,3027,NA
".","Missing",367,3394,NA
