"ARICCEX.Code.or.Value","ARICCEX.Value.Description","ARICCEX.Count","ARICCEX.Cumulative","ARICCEX.Skip.to.Item"
"1","Could not obtain",360,360,NA
".","Missing",4641,5001,NA
