"RFXC014.Code.or.Value","RFXC014.Value.Description","RFXC014.Count","RFXC014.Cumulative","RFXC014.Skip.to.Item"
"-5.438 to 3.84","Range of Values",51073,51073,NA
".","Missing",3,51076,NA
