"DX2PEBMC.Code.or.Value","DX2PEBMC.Value.Description","DX2PEBMC.Count","DX2PEBMC.Cumulative","DX2PEBMC.Skip.to.Item"
"80.77 to 568.27","Range of Values",443,443,NA
".","Missing",42,485,NA
