"DXXPOSTH.Code.or.Value","DXXPOSTH.Value.Description","DXXPOSTH.Count","DXXPOSTH.Cumulative","DXXPOSTH.Skip.to.Item"
"32.9 to 82.4","Range of Values",2995,2995,NA
".","Missing",713,3708,NA
