"RHQ602U.Code.or.Value","RHQ602U.Value.Description","RHQ602U.Count","RHQ602U.Cumulative","RHQ602U.Skip.to.Item"
"1","Months",1,1,NA
"2","Years",3,4,NA
"7","Refused",0,4,NA
"9","Don't know",0,4,NA
".","Missing",3513,3517,NA
