"URXBMA.Code.or.Value","URXBMA.Value.Description","URXBMA.Count","URXBMA.Cumulative","URXBMA.Skip.to.Item"
"0.354 to 1330","Range of Values",3014,3014,NA
".","Missing",265,3279,NA
