"DXXLABEL.Code.or.Value","DXXLABEL.Value.Description","DXXLABEL.Count","DXXLABEL.Cumulative","DXXLABEL.Skip.to.Item"
"T12","T12",3295,3295,NA
"< blank >","Missing",413,3708,NA
