"RFXT024.Code.or.Value","RFXT024.Value.Description","RFXT024.Count","RFXT024.Cumulative","RFXT024.Skip.to.Item"
"195 to 203","Range of Values",51071,51071,NA
".","Missing",5,51076,NA
