"URDCOTLC.Code.or.Value","URDCOTLC.Value.Description","URDCOTLC.Count","URDCOTLC.Cumulative","URDCOTLC.Skip.to.Item"
"0","At or above detection limit",2409,2409,NA
"1","Below lower detection limit",44,2453,NA
".","Missing",152,2605,NA
