"SPXNFEV3.Code.or.Value","SPXNFEV3.Value.Description","SPXNFEV3.Count","SPXNFEV3.Cumulative","SPXNFEV3.Skip.to.Item"
"560 to 7526","Range of Values",6652,6652,NA
".","Missing",843,7495,NA
