"URDOPMLC.Code.or.Value","URDOPMLC.Value.Description","URDOPMLC.Count","URDOPMLC.Cumulative","URDOPMLC.Skip.to.Item"
"0","At or above the detection limit",2225,2225,NA
"1","Below lower detection limit",191,2416,NA
".","Missing",89,2505,NA
