"DR2IPROT.Code.or.Value","DR2IPROT.Value.Description","DR2IPROT.Count","DR2IPROT.Cumulative","DR2IPROT.Skip.to.Item"
"0 to 347.98","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
