"URDTNE2.Code.or.Value","URDTNE2.Value.Description","URDTNE2.Count","URDTNE2.Cumulative","URDTNE2.Skip.to.Item"
"0.0002 to 519.4","Range of Values",2572,2572,NA
".","Missing",183,2755,NA
