"LEARBUN.Code.or.Value","LEARBUN.Value.Description","LEARBUN.Count","LEARBUN.Cumulative","LEARBUN.Skip.to.Item"
"1","Yes",624,624,NA
"2","No",2239,2863,NA
"8","Could not obtain",4,2867,NA
".","Missing",317,3184,NA
