"URXCHS.Code.or.Value","URXCHS.Value.Description","URXCHS.Count","URXCHS.Cumulative","URXCHS.Skip.to.Item"
"0.0354 to 0.0354","Range of Values",2419,2419,NA
".","Missing",337,2756,NA
