"PAXQFM.Code.or.Value","PAXQFM.Value.Description","PAXQFM.Count","PAXQFM.Cumulative","PAXQFM.Skip.to.Item"
"0 to 12","Range of Values",78126856,78126856,NA
".","Missing",0,78126856,NA
