"URDMB1LC.Code.or.Value","URDMB1LC.Value.Description","URDMB1LC.Count","URDMB1LC.Cumulative","URDMB1LC.Skip.to.Item"
"0","At or above the detection limit",14,14,NA
"1","Below lower detection limit",2973,2987,NA
".","Missing",292,3279,NA
