"AUXRR237.Code.or.Value","AUXRR237.Value.Description","AUXRR237.Count","AUXRR237.Cumulative","AUXRR237.Skip.to.Item"
"-41 to 43","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
