"LBXSCA.Code.or.Value","LBXSCA.Value.Description","LBXSCA.Count","LBXSCA.Cumulative","LBXSCA.Skip.to.Item"
"7.1 to 13.5","Range of Values",6230,6230,NA
".","Missing",528,6758,NA
