"PFQ051.Code.or.Value","PFQ051.Value.Description","PFQ051.Count","PFQ051.Cumulative","PFQ051.Skip.to.Item"
"1","Yes",1221,1221,NA
"2","No",3810,5031,NA
"7","Refused",0,5031,NA
"9","Don't know",9,5040,NA
".","Missing",4605,9645,NA
