"AUXTCOML.Code.or.Value","AUXTCOML.Value.Description","AUXTCOML.Count","AUXTCOML.Cumulative","AUXTCOML.Skip.to.Item"
"0 to 6","Range of Values",3834,3834,NA
"777","Refused",3,3837,NA
"888","Could not obtain",38,3875,NA
".","Missing",625,4500,NA
