"SMD057.Code.or.Value","SMD057.Value.Description","SMD057.Count","SMD057.Cumulative","SMD057.Skip.to.Item"
"2 to 90","Range of Values",1210,1210,NA
"1","1 cigarette or less",137,1347,NA
"95","95 cigarettes or more",15,1362,NA
"777","Refused",0,1362,NA
"999","Don't know",1,1363,NA
".","Missing",5782,7145,NA
