"DR1TVK.Code.or.Value","DR1TVK.Value.Description","DR1TVK.Count","DR1TVK.Cumulative","DR1TVK.Skip.to.Item"
"0 to 2134","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
