"URDSCNLC.Code.or.Value","URDSCNLC.Value.Description","URDSCNLC.Count","URDSCNLC.Cumulative","URDSCNLC.Skip.to.Item"
"0","At or above the detection limit",2345,2345,NA
"1","Below lower detection limit",2,2347,NA
".","Missing",115,2462,NA
