"MCQ240m.Code.or.Value","MCQ240m.Value.Description","MCQ240m.Count","MCQ240m.Cumulative","MCQ240m.Skip.to.Item"
"28","28",1,1,NA
"80","80 years or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",9363,9364,NA
