"DR2TM161.Code.or.Value","DR2TM161.Value.Description","DR2TM161.Count","DR2TM161.Cumulative","DR2TM161.Skip.to.Item"
"0 to 9.659","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
