"WTSCI11.Code.or.Value","WTSCI11.Value.Description","WTSCI11.Count","WTSCI11.Cumulative","WTSCI11.Skip.to.Item"
"0 to 467804.07149","Range of Values",727,727,NA
".","Missing",51,778,NA
