"URDTTCLC.Code.or.Value","URDTTCLC.Value.Description","URDTTCLC.Count","URDTTCLC.Cumulative","URDTTCLC.Skip.to.Item"
"0","At or above the detection limit",927,927,NA
"1","Below lower detection limit",1713,2640,NA
".","Missing",115,2755,NA
