"MCQ092.Code.or.Value","MCQ092.Value.Description","MCQ092.Count","MCQ092.Cumulative","MCQ092.Skip.to.Item"
"1","Yes",780,780,""
"2","No",7517,8297,"MCQ120A"
"7","Refused",0,8297,"MCQ120A"
"9","Don't know",81,8378,"MCQ120A"
".","Missing",1267,9645,""
