"PUD041.Code.or.Value","PUD041.Value.Description","PUD041.Count","PUD041.Cumulative","PUD041.Skip.to.Item"
"1","Yes",6795,6795,""
"2","No",3195,9990,"End of Section"
".","Missing",132,10122,""
