"RFXC168.Code.or.Value","RFXC168.Value.Description","RFXC168.Count","RFXC168.Cumulative","RFXC168.Skip.to.Item"
"-7.386 to 0.332","Range of Values",51049,51049,NA
".","Missing",27,51076,NA
