"DXXSMY.Code.or.Value","DXXSMY.Value.Description","DXXSMY.Count","DXXSMY.Cumulative","DXXSMY.Skip.to.Item"
"44.2 to 275.8","Range of Values",3302,3302,NA
".","Missing",406,3708,NA
