"DXXIMX.Code.or.Value","DXXIMX.Value.Description","DXXIMX.Count","DXXIMX.Cumulative","DXXIMX.Skip.to.Item"
"389.2 to 996.2","Range of Values",3294,3294,NA
".","Missing",414,3708,NA
