"LBXCRAL.Code.or.Value","LBXCRAL.Value.Description","LBXCRAL.Count","LBXCRAL.Cumulative","LBXCRAL.Skip.to.Item"
"0.104 to 2.44","Range of Values",1733,1733,NA
".","Missing",591,2324,NA
