"DS2TVD.Code.or.Value","DS2TVD.Value.Description","DS2TVD.Count","DS2TVD.Cumulative","DS2TVD.Skip.to.Item"
"0.63 to 1270","Range of Values",2030,2030,NA
".","Missing",7308,9338,NA
