"AUXRR151.Code.or.Value","AUXRR151.Value.Description","AUXRR151.Count","AUXRR151.Cumulative","AUXRR151.Skip.to.Item"
"-14 to 57","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
