"AUXRR151.Code.or.Value","AUXRR151.Value.Description","AUXRR151.Count","AUXRR151.Cumulative","AUXRR151.Skip.to.Item"
"-14 to 40","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
