"LBD196LC.Code.or.Value","LBD196LC.Value.Description","LBD196LC.Count","LBD196LC.Cumulative","LBD196LC.Skip.to.Item"
"0","detectable result",870,870,NA
"1","below detectable limit",1429,2299,NA
".","Missing",248,2547,NA
