"DXXPT53Y.Code.or.Value","DXXPT53Y.Value.Description","DXXPT53Y.Count","DXXPT53Y.Cumulative","DXXPT53Y.Skip.to.Item"
"93 to 318.3","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
