"DR1TS180.Code.or.Value","DR1TS180.Value.Description","DR1TS180.Count","DR1TS180.Cumulative","DR1TS180.Skip.to.Item"
"0 to 61.594","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
