"WTFSM.Code.or.Value","WTFSM.Value.Description","WTFSM.Count","WTFSM.Cumulative","WTFSM.Skip.to.Item"
"0 to 700606.64741","Range of Values",2349,2349,NA
".","Missing",0,2349,NA
