"BIXS723K.Code.or.Value","BIXS723K.Value.Description","BIXS723K.Count","BIXS723K.Cumulative","BIXS723K.Skip.to.Item"
"52.63 to 967.3","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
