"DXXANFM.Code.or.Value","DXXANFM.Value.Description","DXXANFM.Count","DXXANFM.Cumulative","DXXANFM.Skip.to.Item"
"161.9 to 7686.5","Range of Values",6235,6235,NA
".","Missing",1421,7656,NA
