"IMQ030.Code.or.Value","IMQ030.Value.Description","IMQ030.Count","IMQ030.Cumulative","IMQ030.Skip.to.Item"
"1","Yes",1092,1092,NA
"2","No",4049,5141,NA
"7","Refused",3,5144,NA
"9","Don't know",266,5410,NA
".","Missing",5629,11039,NA
