"SMAQUEX2.Code.or.Value","SMAQUEX2.Value.Description","SMAQUEX2.Count","SMAQUEX2.Cumulative","SMAQUEX2.Skip.to.Item"
"1","Home Interview (18+ Yrs)",5856,5856,NA
"2","ACASI (12 - 17 Yrs)",868,6724,NA
".","Missing",0,6724,NA
