"DXXPT24Y.Code.or.Value","DXXPT24Y.Value.Description","DXXPT24Y.Count","DXXPT24Y.Cumulative","DXXPT24Y.Skip.to.Item"
"166.2 to 400.2","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
