"LBCBR1LA.Code.or.Value","LBCBR1LA.Value.Description","LBCBR1LA.Count","LBCBR1LA.Cumulative","LBCBR1LA.Skip.to.Item"
"0.2 to 1","Range of Values",247,247,NA
".","Missing",0,247,NA
