"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"3 to 724","Range of Values",2596,2596,NA
".","Missing",98,2694,NA
