"LBXMG2.Code.or.Value","LBXMG2.Value.Description","LBXMG2.Count","LBXMG2.Cumulative","LBXMG2.Skip.to.Item"
"1","Sensitive",0,0,NA
"2","Resistant",0,0,NA
"3","Intermediate",0,0,NA
"4","No Result",0,0,NA
".","Missing",9929,9929,NA
