"LBXTT3.Code.or.Value","LBXTT3.Value.Description","LBXTT3.Count","LBXTT3.Cumulative","LBXTT3.Skip.to.Item"
"37 to 707","Range of Values",6262,6262,NA
".","Missing",655,6917,NA
