"AUDTYL58.Code.or.Value","AUDTYL58.Value.Description","AUDTYL58.Count","AUDTYL58.Cumulative","AUDTYL58.Skip.to.Item"
"0 to 2.56","Range of Values",2756,2756,NA
".","Missing",278,3034,NA
